window_id,outage_class,window_start_utc,window_end_utc,backfill_start_utc,backfill_end_utc,station_count,n_events,station_ids,median_duration_hours,max_duration_hours,total_duration_hours
NW_20251007T23,network_midnight,2025-10-07 23:00:00+00:00,2025-10-07 23:00:00+00:00,2025-10-07 22:00:00+00:00,2025-10-08 00:00:00+00:00,8,8,IBARAS3;IJABAL13;IJABAL15;IMISRA13;IMURQU5;IMURQU7;IZAWIY5;IZAWIY7,24.0,24.0,192.0
NW_20251012T23,network_midnight,2025-10-12 23:00:00+00:00,2025-10-12 23:00:00+00:00,2025-10-12 22:00:00+00:00,2025-10-13 00:00:00+00:00,20,20,I90583612;IALWAH18;IBIRAL3;IJABAL13;IJABAL14;IJABAL15;IJABAL16;IJANZO2;IJANZO3;IMISRA13;IMURQU5;IMURQU6;IMURQU7;INALUT3;INUQAT10;INUQAT8;INUQAT9;ITAHLI1;ITRIPO32;ITRIPO33,24.0,72.0,768.0
NW_20251015T23,network_midnight,2025-10-15 23:00:00+00:00,2025-10-15 23:00:00+00:00,2025-10-15 22:00:00+00:00,2025-10-16 00:00:00+00:00,5,5,IBIRAL3;IJABAL16;IJANZO2;IJANZO3;INUQAT10,72.0,72.0,264.0
NW_20251016T22,network_midnight,2025-10-16 22:00:00+00:00,2025-10-16 23:00:00+00:00,2025-10-16 21:00:00+00:00,2025-10-17 00:00:00+00:00,17,17,IALWAH18;IBARAS3;IDERNA7;IJABAL13;IJABAL14;IJABAL15;IMISRA12;IMISRA13;IMURQU5;IMURQU6;IMURQU7;INALUT3;INUQAT8;INUQAT9;ITAHLI1;ITRIPO33;IZAWIY7,48.0,73.0,865.0
NW_20251021T23,network_midnight,2025-10-21 23:00:00+00:00,2025-10-21 23:00:00+00:00,2025-10-21 22:00:00+00:00,2025-10-22 00:00:00+00:00,18,18,IALWAH18;IBARAS3;IBIRAL3;IJABAL15;IJABAL16;IJANZO2;IJANZO4;IMISRA12;IMISRA13;IMURQU5;IMURQU7;INALUT3;INUQAT10;INUQAT8;INUQAT9;ITAHLI1;IZAWIY5;IZAWIY7,24.0,24.0,431.0
NW_20251026T22,network_midnight,2025-10-26 22:00:00+00:00,2025-10-26 23:00:00+00:00,2025-10-26 21:00:00+00:00,2025-10-27 00:00:00+00:00,11,11,IBARAS3;IJABAL15;IJABAL16;IJANZO2;IJANZO3;IMISRA12;IMURQU6;IMURQU7;ITAHLI1;ITRIPO32;ITRIPO33,24.0,109.0,340.0
NW_20251028T23,network_midnight,2025-10-28 23:00:00+00:00,2025-10-28 23:00:00+00:00,2025-10-28 22:00:00+00:00,2025-10-29 00:00:00+00:00,12,12,IBARAS3;IDERNA7;IJABAL13;IJABAL15;IJANZO2;IJANZO3;IJANZO4;IMURQU5;INALUT3;INUQAT9;ITAHLI1;IZAWIY5,24.0,24.0,287.0
NW_20251105T23,network_midnight,2025-11-05 23:00:00+00:00,2025-11-05 23:00:00+00:00,2025-11-05 22:00:00+00:00,2025-11-06 00:00:00+00:00,12,12,IBARAS3;IJABAL15;IJABAL16;IJANZO2;IJANZO4;IMISRA12;IMURQU5;IMURQU6;INALUT3;INUQAT9;ITRIPO32;IZAWIY7,24.0,32.0,284.0
NW_20251110T22,network_midnight,2025-11-10 22:00:00+00:00,2025-11-10 23:00:00+00:00,2025-11-10 21:00:00+00:00,2025-11-11 00:00:00+00:00,9,9,IBARAS3;IBIRAL3;IJABAL13;IJABAL15;IJANZO4;IMISRA13;IMURQU6;INUQAT9;IZAWIY7,24.0,55.0,319.0
NW_20251111T23,network_midnight,2025-11-11 23:00:00+00:00,2025-11-11 23:00:00+00:00,2025-11-11 22:00:00+00:00,2025-11-12 00:00:00+00:00,8,8,IALWAH18;IDERNA7;IJANZO3;IMISRA12;INALUT3;INUQAT10;ITRIPO32;ITRIPO33,24.0,24.0,192.0
NW_20251113T22,network_midnight,2025-11-13 22:00:00+00:00,2025-11-13 23:00:00+00:00,2025-11-13 21:00:00+00:00,2025-11-14 00:00:00+00:00,15,15,IBARAS3;IDERNA7;IJABAL13;IJANZO2;IJANZO3;IMISRA13;IMURQU6;INALUT3;INUQAT10;INUQAT8;INUQAT9;ITAHLI1;ITRIPO33;IZAWIY5;IZAWIY7,24.0,48.0,494.0
NW_20251114T23,network_midnight,2025-11-14 23:00:00+00:00,2025-11-15 00:00:00+00:00,2025-11-14 22:00:00+00:00,2025-11-15 01:00:00+00:00,6,6,IALWAH18;IBIRAL3;IJABAL14;IJANZO4;IMURQU5;IMURQU7,24.0,55.0,182.0
NW_20251119T23,network_midnight,2025-11-19 23:00:00+00:00,2025-11-19 23:00:00+00:00,2025-11-19 22:00:00+00:00,2025-11-20 00:00:00+00:00,21,21,IALWAH18;IBIRAL3;IJABAL13;IJABAL14;IJABAL15;IJABAL16;IJANZO2;IJANZO3;IJANZO4;IMISRA12;IMISRA13;IMURQU6;IMURQU7;INALUT3;INUQAT10;INUQAT8;INUQAT9;ITAHLI1;ITRIPO32;ITRIPO33;IZAWIY7,24.0,24.0,504.0
